ID,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,Tweet ID,Reviewer,Review
31-1,03/31/2023 16:43:12,https://twitter.com/VincegDelgado/status/951221523662057473,31,"De Castro, Hans Gabriel",RBRD,Leni cheated during the 2016 General Election,"fakevp, mandaraya, 2016, leni, cheater, vp, robredo",@VincegDelgado,Bee Scent Tea,"A father, a Mentor, a Student, and I make change!",,17/06/2023 00:00:00,405,7,"The Global City, Taguig",correct! y shud he? he is our genuine VP not the #fakeVP. Our #fakeVP is in the office (for now) by means of chouse!,,"Text, Reply",10/01/2018 22:37:38,,Rational,1,0,1,0,,,The tweet is a mis/disinformation since PET junks the electoral protest of Marcos Jr. against Robredo since Marcos failed to prove his case that there was massive cheating in the 2016 elections [https://pressone.ph/fact-check-2016-vice-presidency-was-not-stolen-from-marcos/},,951221523662057473,,
31-2,03/31/2023 16:43:12,https://twitter.com/maria47215/status/954161240569389056,31,"De Castro, Hans Gabriel",RBRD,Leni cheated during the 2016 General Election,"fakevp, mandaraya, 2016, leni, cheater, vp, robredo",@maria47215,シャネル,"Great is the LORD, and greatly to be praised; and his greatness is unsearchable. PSALMS 145:3   CHURCH OF GOD - ACTS 20:28",,14/07/2023 00:00:00,"3,151","1,949",Fashion Company,"People of the Philippines  speaks 
@lenirobredo
 you are #FakeVp #Fake as Louis Vuitton fake ",,"Text, Reply, Image",19/01/2018 01:19:01,,Emotional,0,0,0,0,,,The hashtag is a mis/disinformation since PET junks the electoral protest of Marcos Jr. against Robredo since Marcos failed to prove his case that there was massive cheating in the 2016 elections [https://pressone.ph/fact-check-2016-vice-presidency-was-not-stolen-from-marcos/},,954161240569389056,,
31-3,03/31/2023 16:43:12,https://twitter.com/ArmonkBurgers/status/954905145032302592,31,"De Castro, Hans Gabriel",RBRD,Leni cheated during the 2016 General Election,"fakevp, mandaraya, 2016, leni, cheater, vp, robredo",@ArmonkBurgers,PinayAko Beshie,I Hate Drugs! Put%&ina!,,12/04/2023 00:00:00,49,137,"Manila City, National Capital Region","let me correct myself people didn’t vote 
@lenirobredo
 PICOS did! So no worries when it comes to her she never won in the first place #cheater #fakevp",,"Text, Reply",21/01/2018 02:35:02,,Rational,1,0,1,0,,,The tweet is a mis/disinformation since PET junks the electoral protest of Marcos Jr. against Robredo since Marcos failed to prove his case that there was massive cheating in the 2016 elections [https://pressone.ph/fact-check-2016-vice-presidency-was-not-stolen-from-marcos/},,954905145032302592,,
31-4,03/31/2023 16:43:12,https://twitter.com/maria47215/status/955391771147563009,31,"De Castro, Hans Gabriel",RBRD,Leni cheated during the 2016 General Election,"fakevp, mandaraya, 2016, leni, cheater, vp, robredo",@maria47215,シャネル,"Great is the LORD, and greatly to be praised; and his greatness is unsearchable. PSALMS 145:3   CHURCH OF GOD - ACTS 20:28",,14/07/2023 00:00:00,"3,151","1,949",Fashion Company,"Hipocrita ka 
@lenirobredo
 #Fakevp fake as Louis Vuitton fake #LiberalPartyYellowshitsNeverAgain ",,"Text, Reply",22/01/2018 10:48:43,,Emotional,0,0,0,0,,,The hashtag is a mis/disinformation since PET junks the electoral protest of Marcos Jr. against Robredo since Marcos failed to prove his case that there was massive cheating in the 2016 elections [https://pressone.ph/fact-check-2016-vice-presidency-was-not-stolen-from-marcos/},Not real location,955391771147563009,,
31-5,03/31/2023 16:43:12,https://twitter.com/maria47215/status/955431017069727745,31,"De Castro, Hans Gabriel",RBRD,Leni cheated during the 2016 General Election,"fakevp, mandaraya, 2016, leni, cheater, vp, robredo",@maria47215,シャネル,"Great is the LORD, and greatly to be praised; and his greatness is unsearchable. PSALMS 145:3   CHURCH OF GOD - ACTS 20:28",,14/07/2023 00:00:00,"3,151","1,949",Fashion Company,"Totoo talaga na #FakeVp Ka 
@lenirobredo
 #LiberalPartyYellowshitsNeverAgain  FAKE as fake Louis Vuitton",,"Text, Reply",22/01/2018 13:24:40,,Emotional,1,0,2,0,,,The hashtag is a mis/disinformation since PET junks the electoral protest of Marcos Jr. against Robredo since Marcos failed to prove his case that there was massive cheating in the 2016 elections [https://pressone.ph/fact-check-2016-vice-presidency-was-not-stolen-from-marcos/},Not real location,955431017069727745,,
31-6,03/31/2023 16:43:12,https://twitter.com/NorthStur/status/955990564222226437,31,"De Castro, Hans Gabriel",RBRD,Leni cheated during the 2016 General Election,"fakevp, mandaraya, 2016, leni, cheater, vp, robredo",@NorthStur,Northstar,networker,,12/08/2023 00:00:00,403,47,Zamboanga City,abangan ang update sa zombie na naka boto para kay #FakeVP https://fb.me/7nLFUVWmH,,"Text, URL",24/01/2018 02:28:06,,Emotional,0,0,0,0,,,The hashtag is a mis/disinformation since PET junks the electoral protest of Marcos Jr. against Robredo since Marcos failed to prove his case that there was massive cheating in the 2016 elections [https://pressone.ph/fact-check-2016-vice-presidency-was-not-stolen-from-marcos/},,955990564222226437,,
31-7,03/31/2023 16:43:12,https://twitter.com/ayen_pineda/status/957395917744750592,31,"De Castro, Hans Gabriel",RBRD,Leni cheated during the 2016 General Election,"fakevp, mandaraya, 2016, leni, cheater, vp, robredo",@ayen_pineda,Ayen Rheyn,"I am flexible
Proud Ilocana",,18/01/2023 00:00:00,214,102,"Wan Chai District, Hong Kong","uh oh...I am proud to be a DH.Marangal ang trabaho ko, wala akong inaapakang tao, di ako nagnanakaw.Nakakatulong ako sa bansa.
Ikaw po, nakakatulong ka ba?
..Anyway, back to fake VP, puro lang sya pakitang tao.Magnanakaw ng boto.Ang kapal ng mukha.
#fakeVP
#BBMtherealVP",,"Text, Reply",27/01/2018 23:32:29,,Emotional,0,1,0,0,,,The hashtag is a mis/disinformation since PET junks the electoral protest of Marcos Jr. against Robredo since Marcos failed to prove his case that there was massive cheating in the 2016 elections [https://pressone.ph/fact-check-2016-vice-presidency-was-not-stolen-from-marcos/},,957395917744750592,,
31-8,03/31/2023 16:43:12,https://twitter.com/ruemao/status/957780900716077056,31,"De Castro, Hans Gabriel",RBRD,Leni cheated during the 2016 General Election,"fakevp, mandaraya, 2016, leni, cheater, vp, robredo",@ruemao,Ruemao,,,17/03/2023 00:00:00,659,27,,Sinong maniniwalang 14 million+ ang bumoto kay LENI? Mantakin nyo 2 million lng lamang ni PRRD sa kanya in terms of numbers #FAKEVP,,"Text, Reply",29/01/2018 01:02:16,,Rational,0,0,3,0,,,The tweet is a mis/disinformation since PET junks the electoral protest of Marcos Jr. against Robredo since Marcos failed to prove his case that there was massive cheating in the 2016 elections [https://pressone.ph/fact-check-2016-vice-presidency-was-not-stolen-from-marcos/},No bio and location,957780900716077056,,
31-9,03/31/2023 16:43:12,https://twitter.com/Tokseeeek/status/960297555685879808,31,"De Castro, Hans Gabriel",RBRD,Leni cheated during the 2016 General Election,"fakevp, mandaraya, 2016, leni, cheater, vp, robredo",@Tokseeeek,Elmore Toque,IG: _toks_,,15/01/2023 00:00:00,144,31,National Capital Region,"@lenirobredo
 @VPPilipinas
 is #FakeVP ano p aasahan mo sa peke? Boto nga ninakaw, kaban ng bayan pa kaya?",,"Text, Reply",04/02/2018 23:42:33,,Rational,2,0,4,0,,,The hashtag is a mis/disinformation since PET junks the electoral protest of Marcos Jr. against Robredo since Marcos failed to prove his case that there was massive cheating in the 2016 elections [https://pressone.ph/fact-check-2016-vice-presidency-was-not-stolen-from-marcos/},,960297555685879808,,
31-10,03/31/2023 16:43:12,https://twitter.com/FatmahNour/status/961202413104455681,31,"De Castro, Hans Gabriel",RBRD,Leni cheated during the 2016 General Election,"fakevp, mandaraya, 2016, leni, cheater, vp, robredo",@FatmahNour,Faizah Nour Mehmood,Daughter. Sister. Wife. Friend. OFW. Muslima.,,13/03/2023 00:00:00,133,9,Republic of the Philippines,She signing?!? Are you kidding?? It is as if slitting her own throat if she do that! chos! #fakeVP #BBMthenewVP #fottherecount #,,"Text, Reply",07/02/2018 11:38:08,,Emotional,2,0,3,0,,,The hashtag is a mis/disinformation since PET junks the electoral protest of Marcos Jr. against Robredo since Marcos failed to prove his case that there was massive cheating in the 2016 elections [https://pressone.ph/fact-check-2016-vice-presidency-was-not-stolen-from-marcos/},,961202413104455681,,
